Flight_ID,Date_Key,Airline_ID,Origin_Airport_ID,Dest_Airport_ID,Gate_ID,Delay_Reason_ID,Delay_Minutes,Flight_Status
1,237,1,2,4,22,3,45,Delayed
2,338,1,1,6,45,2,15,Delayed
3,53,4,6,5,38,1,0,On Time
4,280,2,3,3,35,3,45,Delayed
5,217,5,1,5,46,3,45,Delayed
6,252,5,4,5,7,2,15,Delayed
7,188,2,4,5,3,5,10,Delayed
8,41,1,2,4,6,2,15,Delayed
9,157,4,2,4,13,2,15,Delayed
10,15,5,3,6,46,5,10,Delayed
11,301,4,5,3,15,5,10,Delayed
12,65,2,4,3,26,3,45,Delayed
13,345,4,1,6,48,1,0,On Time
14,327,2,5,3,33,2,15,Delayed
15,9,1,4,3,15,1,0,On Time
16,344,2,3,4,39,5,10,Delayed
17,129,2,4,1,41,5,10,Delayed
18,136,5,2,6,47,2,15,Delayed
19,63,4,1,4,14,3,45,Delayed
20,139,5,1,3,19,2,15,Delayed
21,81,3,2,3,28,3,45,Delayed
22,163,2,5,4,24,4,25,Delayed
23,289,3,2,3,50,3,45,Delayed
24,261,5,1,6,41,2,15,Delayed
25,231,4,3,5,33,2,15,Delayed
26,41,5,5,3,12,3,45,Delayed
27,28,4,6,3,10,1,0,On Time
28,135,4,4,3,7,3,45,Delayed
29,201,1,6,2,46,4,25,Delayed
30,328,2,3,6,1,4,25,Delayed
31,268,5,6,1,15,1,0,On Time
32,33,4,5,3,1,4,25,Delayed
33,48,5,1,6,45,2,15,Delayed
34,62,5,1,6,20,1,0,On Time
35,216,4,3,2,2,1,0,On Time
36,293,3,6,3,3,1,0,On Time
37,99,2,5,3,36,3,45,Delayed
38,172,2,4,3,16,3,45,Delayed
39,360,1,6,5,29,1,0,On Time
40,214,1,6,1,44,4,25,Delayed
41,35,1,4,3,36,2,15,Delayed
42,227,2,2,3,44,2,15,Delayed
43,101,3,3,2,39,3,45,Delayed
44,131,2,5,3,3,5,10,Delayed
45,257,2,3,4,37,1,0,On Time
46,5,2,4,6,44,5,10,Delayed
47,218,2,5,4,12,2,15,Delayed
48,255,3,1,5,20,3,45,Delayed
