Passenger_Record_ID,Flight_ID,Passenger_Count,Ticket_Class,Ticket_Revenue
1,1,161,Economy,483000
2,2,208,Business,1664000
3,3,156,Economy,468000
4,4,75,Business,600000
5,5,159,Business,1272000
6,6,115,Business,920000
7,7,207,Business,1656000
8,8,150,Business,1200000
9,9,50,Economy,150000
10,10,119,Economy,357000
11,11,199,Economy,597000
12,12,162,Business,1296000
13,13,103,Economy,309000
14,14,191,Business,1528000
15,15,63,Business,504000
16,16,248,Business,1984000
17,17,68,Business,544000
18,18,203,Business,1624000
19,19,108,Business,864000
20,20,199,Business,1592000
21,21,55,Economy,165000
22,22,112,Business,896000
23,23,126,Business,1008000
24,24,123,Economy,369000
25,25,231,Economy,693000
26,26,176,Economy,528000
27,27,196,Economy,588000
28,28,144,Business,1152000
29,29,59,Economy,177000
30,30,86,Economy,258000
31,31,194,Business,1552000
32,32,232,Economy,696000
33,33,182,Economy,546000
34,34,198,Business,1584000
35,35,167,Business,1336000
36,36,216,Economy,648000
37,37,197,Business,1576000
38,38,248,Business,1984000
39,39,192,Business,1536000
40,40,128,Economy,384000
41,41,102,Economy,306000
42,42,82,Business,656000
43,43,171,Business,1368000
44,44,221,Business,1768000
45,45,243,Economy,729000
46,46,227,Economy,681000
47,47,81,Economy,243000
48,48,128,Economy,384000
49,49,248,Economy,744000
50,50,232,Economy,696000
51,51,205,Business,1640000
52,52,52,Economy,156000
53,53,102,Economy,306000
54,54,219,Economy,657000
55,55,51,Business,408000
56,56,170,Business,1360000
57,57,199,Business,1592000
58,58,202,Business,1616000
59,59,209,Business,1672000
60,60,184,Business,1472000
61,61,111,Business,888000
62,62,80,Business,640000
63,63,112,Economy,336000
64,64,86,Economy,258000
65,65,117,Economy,351000
66,66,128,Economy,384000
67,67,186,Business,1488000
68,68,247,Economy,741000
69,69,95,Economy,285000
70,70,144,Economy,432000
71,71,83,Economy,249000
72,72,157,Economy,471000
73,73,109,Business,872000
74,74,190,Economy,570000
75,75,85,Business,680000
76,76,97,Business,776000
77,77,142,Business,1136000
78,78,55,Economy,165000
79,79,182,Business,1456000
80,80,242,Economy,726000
81,81,152,Economy,456000
82,82,227,Economy,681000
83,83,123,Business,984000
84,84,123,Economy,369000
85,85,162,Economy,486000
86,86,201,Business,1608000
87,87,56,Business,448000
88,88,135,Economy,405000
89,89,107,Business,856000
90,90,198,Business,1584000
91,91,210,Business,1680000
92,92,93,Economy,279000
93,93,74,Business,592000
94,94,144,Economy,432000
95,95,165,Economy,495000
96,96,192,Economy,576000
97,97,206,Economy,618000
98,98,132,Economy,396000
99,99,101,Business,808000
100,100,66,Economy,198000
101,101,85,Economy,255000
102,102,212,Economy,636000
103,103,217,Business,1736000
104,104,200,Economy,600000
105,105,211,Business,1688000
106,106,235,Business,1880000
107,107,131,Business,1048000
108,108,177,Economy,531000
109,109,129,Economy,387000
110,110,238,Economy,714000
111,111,205,Business,1640000
112,112,109,Economy,327000
113,113,209,Economy,627000
114,114,107,Business,856000
115,115,131,Economy,393000
116,116,93,Business,744000
117,117,211,Economy,633000
118,118,198,Economy,594000
119,119,173,Business,1384000
120,120,50,Business,400000
121,121,232,Economy,696000
122,122,226,Economy,678000
123,123,146,Economy,438000
124,124,70,Business,560000
125,125,148,Economy,444000
126,126,232,Economy,696000
127,127,204,Business,1632000
128,128,197,Economy,591000
129,129,193,Economy,579000
130,130,97,Economy,291000
131,131,81,Business,648000
132,132,81,Economy,243000
133,133,230,Business,1840000
134,134,173,Economy,519000
135,135,230,Business,1840000
136,136,179,Business,1432000
137,137,234,Business,1872000
138,138,71,Business,568000
139,139,101,Business,808000
140,140,145,Business,1160000
141,141,235,Economy,705000
142,142,211,Business,1688000
143,143,248,Economy,744000
144,144,194,Economy,582000
145,145,249,Business,1992000
146,146,72,Economy,216000
147,147,82,Economy,246000
148,148,206,Economy,618000
149,149,68,Business,544000
150,150,170,Economy,510000
151,151,118,Economy,354000
152,152,86,Economy,258000
153,153,172,Business,1376000
154,154,203,Business,1624000
155,155,73,Economy,219000
156,156,103,Economy,309000
157,157,70,Business,560000
158,158,146,Economy,438000
159,159,139,Economy,417000
160,160,187,Business,1496000
161,161,91,Economy,273000
162,162,206,Economy,618000
163,163,234,Economy,702000
164,164,212,Business,1696000
165,165,77,Business,616000
166,166,189,Business,1512000
167,167,107,Business,856000
168,168,176,Economy,528000
169,169,221,Business,1768000
170,170,56,Business,448000
171,171,193,Business,1544000
172,172,142,Economy,426000
173,173,84,Economy,252000
174,174,141,Business,1128000
175,175,56,Economy,168000
176,176,63,Business,504000
177,177,108,Economy,324000
178,178,111,Business,888000
179,179,169,Economy,507000
